Time,Milliseconds,Acceleration X,Acceleration Y,Acceleration Z,Gravity X,Gravity Y,Gravity Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z
"23:3:23",4502223,-0.2259981,0.9048282,0.3904952,-21.85059,-27.16064,-37.41455,-21.85059,-27.16064,-37.41455
"23:3:23",4502323,-0.1437227,0.9031192,0.3846358,7.263184,31.37207,5.249023,7.263184,31.37207,5.249023
"23:3:23",4502627,-0.1561739,0.8914004,0.4573897,0.06103516,-2.807617,0.4882813,-1.89209,-3.295898,0.4882813
"23:3:23",4502650,-0.1444551,0.8806582,0.456169,-0.8544922,-3.662109,0.7324219,-0.8544922,-3.662109,0.7324219
"23:3:23",4502670,-0.1478731,0.8840762,0.4559249,-4.699707,0.2441406,-2.13623,-4.699707,0.2441406,-2.13623
"23:3:23",4502724,-0.1610567,0.871625,0.456169,0.2441406,-3.112793,-0.3051758,0.2441406,-3.112793,-0.3051758
"23:3:24",4502824,-0.1644747,0.8718692,0.4505538,0.1220703,-0.3051758,0.3662109,0.1220703,-0.3051758,0.3662109
"23:3:24",4502923,-0.1566622,0.8738223,0.4520186,-1.281738,-1.403809,0.2441406,-1.281738,-1.403809,0.2441406
"23:3:24",4503024,-0.1417696,0.8860293,0.4412765,0.793457,-2.746582,1.89209,0.793457,-2.746582,1.89209
"23:3:24",4503124,-0.1415255,0.8828555,0.4442061,-1.037598,0.5493164,0.7324219,-1.037598,0.5493164,0.7324219
"23:3:24",4503224,-0.1444551,0.8799258,0.4481124,-0.5493164,-0.5493164,0.793457,-0.5493164,-0.5493164,0.793457
"23:3:24",4503324,-0.1288301,0.888959,0.445671,1.037598,0.4882813,0.793457,0.1831055,0.4272461,0.3662109
"23:3:24",4503426,-0.1351778,0.88017,0.4344405,0.3051758,-0.4272461,-0.4272461,0.3051758,-0.4272461,-0.4272461
"23:3:24",4503524,-0.1444551,0.8826114,0.4429854,-1.098633,-0.4272461,0.793457,-1.098633,-0.4272461,0.793457
"23:3:24",4503623,-0.1403048,0.8821231,0.4429854,-2.197266,1.403809,1.77002,-2.624512,1.647949,1.77002
"23:3:24",4503725,-0.1227266,0.8838321,0.4476241,1.89209,0.1831055,3.173828,1.89209,0.1831055,3.173828
"23:3:25",4503824,-0.1058809,0.88725,0.4517745,0.9155273,0.6103516,1.281738,0.9155273,0.6103516,1.281738
"23:3:25",4503924,-0.1263887,0.8835879,0.4351729,-1.708984,0.1831055,0.0,-1.708984,0.1831055,0.0
"23:3:25",4504022,-0.1210176,0.8852969,0.4520186,0.1220703,-0.9765625,0.7324219,0.6103516,-0.7324219,0.7324219
"23:3:25",4504124,-0.1234591,0.8843204,0.4464034,1.159668,-0.3662109,1.281738,1.159668,-0.3662109,1.281738
"23:3:25",4504223,-0.1205294,0.8855411,0.4486007,-1.220703,0.1831055,0.7324219,-1.220703,0.1831055,0.7324219
"23:3:25",4504324,-0.1151583,0.8877383,0.4449386,-0.2441406,0.3051758,0.6103516,-0.2441406,0.3051758,0.6103516
"23:3:25",4504424,-0.1122286,0.8874942,0.4432296,-0.1220703,-0.7324219,0.1220703,-0.1220703,-0.7324219,0.1220703
"23:3:25",4504523,-0.1156466,0.8826114,0.443962,-1.037598,-0.9155273,-0.5493164,-1.037598,-0.9155273,-0.5493164
"23:3:25",4504624,-0.125168,0.8830997,0.4381026,0.0,-1.037598,-1.220703,0.1220703,-0.9765625,-1.220703
"23:3:25",4504723,-0.1227266,0.8857852,0.44738,-1.77002,0.1220703,-0.6713867,-1.77002,0.1220703,-0.6713867
"23:3:26",4504824,-0.1088106,0.8884707,0.44738,-1.647949,0.793457,-0.06103516,-1.037598,1.037598,-0.06103516
"23:3:26",4504923,-0.1171114,0.8845645,0.4461593,-0.6713867,1.89209,-0.1831055,-0.6713867,1.89209,-0.1831055
"23:3:26",4505024,-0.1195528,0.890668,0.4466475,6.225586,0.9765625,3.417969,5.004883,0.9765625,3.417969
"23:3:26",4505124,-0.09758015,0.8840762,0.426628,0.8544922,3.723145,4.333496,0.8544922,3.723145,4.333496
"23:3:26",4505224,-0.1139376,0.9119082,0.4366378,7.202148,6.713867,10.49805,7.202148,6.713867,10.49805
"23:3:26",4505324,-0.07951374,0.9067813,0.3926925,14.70947,7.873535,8.178711,14.70947,7.873535,8.178711
"23:3:26",4505424,-0.07707233,0.9180118,0.3726729,9.277344,3.967285,1.953125,9.277344,3.967285,1.953125
"23:3:26",4505524,-0.07316608,0.9258243,0.3687667,2.807617,-1.525879,-0.2441406,2.807617,-1.525879,-0.2441406
"23:3:26",4505621,-0.09733601,0.9160586,0.3961104,1.708984,1.89209,-0.793457,3.479004,1.89209,-0.793457
"23:3:26",4505724,-0.09147663,0.9263125,0.3714522,4.02832,-0.2441406,0.2441406,4.02832,-0.2441406,0.2441406
"23:3:27",4505824,-0.08439655,0.9353457,0.338005,15.56396,-6.774902,-0.9155273,14.09912,-6.774902,-0.9155273
"23:3:27",4505925,-0.06901569,0.9436465,0.2664718,11.16943,-6.713867,3.662109,11.16943,-6.713867,3.662109
"23:3:27",4506024,-0.07780476,0.9468204,0.29113,-0.6713867,0.7324219,0.8544922,-0.6713867,0.7324219,0.8544922
"23:3:27",4506124,-0.08439655,0.9534122,0.2943038,0.793457,-1.647949,2.685547,-0.2441406,-1.647949,2.685547
"23:3:27",4506224,-0.06852741,0.9436465,0.3214034,-0.8544922,-4.638672,0.4882813,-0.8544922,-4.638672,0.4882813
"23:3:27",4506324,-0.05192585,0.9446231,0.308464,3.540039,-2.563477,2.563477,3.540039,-2.563477,2.563477
"23:3:27",4506424,-0.06291218,0.940961,0.308464,0.2441406,-0.1220703,-0.1831055,0.2441406,-0.1220703,-0.1831055
"23:3:27",4506525,-0.0714571,0.9458438,0.3143233,-1.220703,-0.3051758,1.098633,-1.098633,0.0,1.098633
"23:3:27",4506624,-0.07170124,0.9448672,0.3131026,-1.464844,2.624512,-0.3662109,-1.464844,2.624512,-0.3662109
"23:3:27",4506724,-0.0726778,0.9614688,0.3233565,5.126953,3.295898,-1.281738,5.126953,3.295898,-1.281738
"23:3:28",4506824,-0.04826375,1.067182,0.1715011,40.95459,7.324219,23.19336,39.91699,9.521484,23.19336
"23:3:28",4506924,-0.06437702,0.9697696,0.2083663,14.16016,12.146,1.647949,15.56396,10.55908,1.647949
"23:3:28",4507024,-0.03288288,0.9651309,0.2171554,20.20264,36.43799,5.859375,22.52197,35.7666,5.859375
"23:3:28",4507124,-0.06877155,0.9712344,0.1739425,-22.94922,28.38135,-8.178711,-26.06201,28.38135,-8.178711
"23:3:28",4507224,-0.09001179,0.9797793,0.1502608,4.394531,78.125,-1.220703,1.342773,78.125,-1.220703
"23:3:28",4507324,-0.1532442,0.9748965,0.1751632,-5.981445,77.45361,-10.13184,-4.577637,77.45361,-10.13184
"23:3:28",4507424,-0.1444551,0.9587832,0.1651534,-20.81299,30.45654,-8.056641,-20.81299,30.45654,-8.056641
"23:3:28",4507523,-0.1796114,0.9597598,0.1981124,-9.887695,38.0249,0.6713867,-9.887695,38.0249,0.6713867
"23:3:28",4507624,-0.1898653,0.9622012,0.2183761,-1.525879,25.32959,7.019043,-1.525879,25.32959,7.019043
"23:3:28",4507723,-0.1747286,0.9573184,0.2276534,-3.234863,11.96289,1.525879,-3.234863,11.96289,1.525879
"23:3:29",4507824,-0.1490938,0.9578067,0.2176436,-0.5493164,10.74219,4.02832,-0.5493164,10.74219,4.02832
"23:3:29",4507924,-0.1583712,0.9546329,0.2315597,-1.708984,8.789063,4.943848,-1.708984,8.789063,4.943848
"23:3:29",4508024,-0.07218952,0.8621036,0.2847823,-30.63965,4.516602,14.70947,-30.63965,4.516602,14.70947
"23:3:29",4508124,-0.1674044,0.987836,0.2239913,-25.02441,8.239746,24.53613,-28.13721,8.239746,24.53613
"23:3:29",4508223,-0.1415255,0.9658633,0.2352218,-8.239746,7.324219,1.098633,-8.239746,7.324219,1.098633
"23:3:29",4508324,-0.1610567,0.9492618,0.2725753,-10.62012,19.40918,-2.075195,-10.0708,19.40918,-2.075195
"23:3:29",4508424,-0.2130587,0.9333926,0.2745284,-7.446289,18.24951,1.464844,-5.432129,18.24951,1.464844
"23:3:29",4508523,-0.1808321,0.9519473,0.2935714,-22.3999,29.05273,15.50293,-22.82715,31.00586,16.47949
"23:3:29",4508623,-0.1739962,0.9053164,0.3077315,-20.08057,67.93213,30.0293,-20.08057,67.93213,30.0293
